TCSPC_Decay_2; Decay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0	0.0112107623318386	0	---	0	---
0.0079999999680336	0.0190582959641256	0.0079999999680336	---	0.0079999999680336	---
0.0159999999360672	0.0112107623318386	0.0159999999360672	---	0.0159999999360672	---
0.0239999999041008	0.0179372197309417	0.0239999999041008	---	0.0239999999041008	---
0.0319999998721344	0.0134529147982063	0.0319999998721344	---	0.0319999998721344	---
0.039999999840168	0.015695067264574	0.039999999840168	---	0.039999999840168	---
0.0479999998082016	0.0134529147982063	0.0479999998082016	---	0.0479999998082016	---
0.0559999997762352	0.00896860986547085	0.0559999997762352	---	0.0559999997762352	---
0.0639999997442688	0.0134529147982063	0.0639999997442688	---	0.0639999997442688	---
0.0719999997123024	0.007847533632287	0.0719999997123024	---	0.0719999997123024	---
0.079999999680336	0.0213004484304933	0.079999999680336	---	0.079999999680336	---
0.0879999996483696	0.0168161434977578	0.0879999996483696	---	0.0879999996483696	---
0.0959999996164032	0.0145739910313901	0.0959999996164032	---	0.0959999996164032	---
0.103999999584437	0.0123318385650224	0.103999999584437	---	0.103999999584437	---
0.11199999955247	0.0134529147982063	0.11199999955247	---	0.11199999955247	---
0.119999999520504	0.0100896860986547	0.119999999520504	---	0.119999999520504	---
0.127999999488538	0.015695067264574	0.127999999488538	---	0.127999999488538	---
0.135999999456571	0.00560538116591928	0.135999999456571	---	0.135999999456571	---
0.143999999424605	0.015695067264574	0.143999999424605	---	0.143999999424605	---
0.151999999392638	0.0179372197309417	0.151999999392638	---	0.151999999392638	---
0.159999999360672	0.0201793721973094	0.159999999360672	---	0.159999999360672	---
0.167999999328706	0.015695067264574	0.167999999328706	---	0.167999999328706	---
0.175999999296739	0.0145739910313901	0.175999999296739	---	0.175999999296739	---
0.183999999264773	0.0123318385650224	0.183999999264773	---	0.183999999264773	---
0.191999999232806	0.0100896860986547	0.191999999232806	---	0.191999999232806	---
0.19999999920084	0.0134529147982063	0.19999999920084	---	0.19999999920084	---
0.207999999168874	0.00896860986547085	0.207999999168874	---	0.207999999168874	---
0.215999999136907	0.0100896860986547	0.215999999136907	---	0.215999999136907	---
0.223999999104941	0.0168161434977578	0.223999999104941	---	0.223999999104941	---
0.231999999072974	0.0145739910313901	0.231999999072974	---	0.231999999072974	---
0.239999999041008	0.0123318385650224	0.239999999041008	---	0.239999999041008	---
0.247999999009042	0.0179372197309417	0.247999999009042	---	0.247999999009042	---
0.255999998977075	0.00560538116591928	0.255999998977075	---	0.255999998977075	---
0.263999998945109	0.007847533632287	0.263999998945109	---	0.263999998945109	---
0.271999998913142	0.0123318385650224	0.271999998913142	---	0.271999998913142	---
0.279999998881176	0.0123318385650224	0.279999998881176	---	0.279999998881176	---
0.28799999884921	0.0134529147982063	0.28799999884921	---	0.28799999884921	---
0.295999998817243	0.015695067264574	0.295999998817243	---	0.295999998817243	---
0.303999998785277	0.015695067264574	0.303999998785277	---	0.303999998785277	---
0.31199999875331	0.0179372197309417	0.31199999875331	---	0.31199999875331	---
0.319999998721344	0.0112107623318386	0.319999998721344	---	0.319999998721344	---
0.327999998689378	0.00896860986547085	0.327999998689378	---	0.327999998689378	---
0.335999998657411	0.0134529147982063	0.335999998657411	---	0.335999998657411	---
0.343999998625445	0.0100896860986547	0.343999998625445	---	0.343999998625445	---
0.351999998593478	0.0213004484304933	0.351999998593478	---	0.351999998593478	---
0.359999998561512	0.0112107623318386	0.359999998561512	---	0.359999998561512	---
0.367999998529546	0.00896860986547085	0.367999998529546	---	0.367999998529546	---
0.375999998497579	0.007847533632287	0.375999998497579	---	0.375999998497579	---
0.383999998465613	0.0190582959641256	0.383999998465613	---	0.383999998465613	---
0.391999998433646	0.0134529147982063	0.391999998433646	---	0.391999998433646	---
0.39999999840168	0.0123318385650224	0.39999999840168	---	0.39999999840168	---
0.407999998369714	0.0123318385650224	0.407999998369714	---	0.407999998369714	---
0.415999998337747	0.015695067264574	0.415999998337747	---	0.415999998337747	---
0.423999998305781	0.015695067264574	0.423999998305781	---	0.423999998305781	---
0.431999998273814	0.0100896860986547	0.431999998273814	---	0.431999998273814	---
0.439999998241848	0.00896860986547085	0.439999998241848	---	0.439999998241848	---
0.447999998209882	0.0123318385650224	0.447999998209882	---	0.447999998209882	---
0.455999998177915	0.0112107623318386	0.455999998177915	---	0.455999998177915	---
0.463999998145949	0.0190582959641256	0.463999998145949	---	0.463999998145949	---
0.471999998113982	0.0145739910313901	0.471999998113982	---	0.471999998113982	---
0.479999998082016	0.0123318385650224	0.479999998082016	---	0.479999998082016	---
0.48799999805005	0.00448430493273543	0.48799999805005	---	0.48799999805005	---
0.495999998018083	0.0201793721973094	0.495999998018083	---	0.495999998018083	---
0.503999997986117	0.0123318385650224	0.503999997986117	---	0.503999997986117	---
0.51199999795415	0.0123318385650224	0.51199999795415	---	0.51199999795415	---
0.519999997922184	0.00896860986547085	0.519999997922184	---	0.519999997922184	---
0.527999997890218	0.00896860986547085	0.527999997890218	---	0.527999997890218	---
0.535999997858251	0.0190582959641256	0.535999997858251	---	0.535999997858251	---
0.543999997826285	0.0112107623318386	0.543999997826285	---	0.543999997826285	---
0.551999997794318	0.00896860986547085	0.551999997794318	---	0.551999997794318	---
0.559999997762352	0.023542600896861	0.559999997762352	---	0.559999997762352	---
0.567999997730386	0.0100896860986547	0.567999997730386	---	0.567999997730386	---
0.575999997698419	0.015695067264574	0.575999997698419	---	0.575999997698419	---
